,timestamp,device_id,name,latitude,longitude,temp_value,rain_value
216,2022-03-10T00:00:00,S115,Tuas South Avenue 3,1.29377,103.61843,28.05166667,0.033333333
217,2022-03-10T01:00:00,S115,Tuas South Avenue 3,1.29377,103.61843,28.095,0
218,2022-03-10T02:00:00,S115,Tuas South Avenue 3,1.29377,103.61843,27.8,0.033333333
219,2022-03-10T03:00:00,S115,Tuas South Avenue 3,1.29377,103.61843,27.97666667,0
220,2022-03-10T04:00:00,S115,Tuas South Avenue 3,1.29377,103.61843,27.75,0.033333333
221,2022-03-10T05:00:00,S115,Tuas South Avenue 3,1.29377,103.61843,27.52333333,0.016666667
222,2022-03-10T06:00:00,S115,Tuas South Avenue 3,1.29377,103.61843,27.37166667,0.016666667
223,2022-03-10T07:00:00,S115,Tuas South Avenue 3,1.29377,103.61843,27.48166667,0.15
224,2022-03-10T08:00:00,S115,Tuas South Avenue 3,1.29377,103.61843,27.21333333,0
225,2022-03-10T09:00:00,S115,Tuas South Avenue 3,1.29377,103.61843,27.05,0
226,2022-03-10T10:00:00,S115,Tuas South Avenue 3,1.29377,103.61843,27.13166667,0
227,2022-03-10T11:00:00,S115,Tuas South Avenue 3,1.29377,103.61843,27.255,0
228,2022-03-10T12:00:00,S115,Tuas South Avenue 3,1.29377,103.61843,27.49,0
229,2022-03-10T13:00:00,S115,Tuas South Avenue 3,1.29377,103.61843,27.59166667,0.016666667
230,2022-03-10T14:00:00,S115,Tuas South Avenue 3,1.29377,103.61843,27.61166667,0
231,2022-03-10T15:00:00,S115,Tuas South Avenue 3,1.29377,103.61843,27.26333333,0
232,2022-03-10T16:00:00,S115,Tuas South Avenue 3,1.29377,103.61843,27.41166667,0
233,2022-03-10T17:00:00,S115,Tuas South Avenue 3,1.29377,103.61843,27.30833333,0
234,2022-03-10T18:00:00,S115,Tuas South Avenue 3,1.29377,103.61843,25.86666667,0
235,2022-03-10T19:00:00,S115,Tuas South Avenue 3,1.29377,103.61843,25.805,0
236,2022-03-10T20:00:00,S115,Tuas South Avenue 3,1.29377,103.61843,25.58833333,0
237,2022-03-10T21:00:00,S115,Tuas South Avenue 3,1.29377,103.61843,25.58166667,0
238,2022-03-10T22:00:00,S115,Tuas South Avenue 3,1.29377,103.61843,25.48,0
239,2022-03-10T23:00:00,S115,Tuas South Avenue 3,1.29377,103.61843,25.87413793,0
