	device_id	name	latitude	longitude	temp_value	rain_value
288	S104	Woodlands Avenue 9	1.44387	103.78538	27.67833333333333	0.0
289	S104	Woodlands Avenue 9	1.44387	103.78538	27.825	0.0
290	S104	Woodlands Avenue 9	1.44387	103.78538	27.71	0.0
291	S104	Woodlands Avenue 9	1.44387	103.78538	27.65833333333333	0.0
292	S104	Woodlands Avenue 9	1.44387	103.78538	27.78333333333333	0.0
293	S104	Woodlands Avenue 9	1.44387	103.78538	27.625	0.0
294	S104	Woodlands Avenue 9	1.44387	103.78538	27.57333333333333	0.0
295	S104	Woodlands Avenue 9	1.44387	103.78538	27.401666666666664	0.0
296	S104	Woodlands Avenue 9	1.44387	103.78538	26.98333333333333	0.0
297	S104	Woodlands Avenue 9	1.44387	103.78538	27.34	0.0
298	S104	Woodlands Avenue 9	1.44387	103.78538	27.543333333333333	0.0
299	S104	Woodlands Avenue 9	1.44387	103.78538	27.526666666666664	0.0
300	S104	Woodlands Avenue 9	1.44387	103.78538	27.59333333333333	0.0
301	S104	Woodlands Avenue 9	1.44387	103.78538	27.688333333333333	0.0
302	S104	Woodlands Avenue 9	1.44387	103.78538	27.64	0.0
303	S104	Woodlands Avenue 9	1.44387	103.78538	27.605	0.0
304	S104	Woodlands Avenue 9	1.44387	103.78538	27.60666666666667	0.0
305	S104	Woodlands Avenue 9	1.44387	103.78538	27.491666666666667	0.0
306	S104	Woodlands Avenue 9	1.44387	103.78538	27.451666666666664	0.0
307	S104	Woodlands Avenue 9	1.44387	103.78538	27.631666666666668	0.0
308	S104	Woodlands Avenue 9	1.44387	103.78538	27.53833333333333	0.0
309	S104	Woodlands Avenue 9	1.44387	103.78538	27.72833333333333	0.0
310	S104	Woodlands Avenue 9	1.44387	103.78538	27.703333333333333	0.0
311	S104	Woodlands Avenue 9	1.44387	103.78538	27.756140350877192	0.0
312	S100	Woodlands Road	1.4172	103.74855	28.08	0.0
313	S100	Woodlands Road	1.4172	103.74855	27.835	0.0
314	S100	Woodlands Road	1.4172	103.74855	28.91333333333333	0.0
315	S100	Woodlands Road	1.4172	103.74855	27.78833333333333	0.0
316	S100	Woodlands Road	1.4172	103.74855	26.44333333333333	0.0
317	S100	Woodlands Road	1.4172	103.74855	27.265	0.0
318	S100	Woodlands Road	1.4172	103.74855	27.40833333333333	0.0
319	S100	Woodlands Road	1.4172	103.74855	28.676666666666662	0.0
320	S100	Woodlands Road	1.4172	103.74855	29.426666666666662	0.0
321	S100	Woodlands Road	1.4172	103.74855	29.53833333333333	0.0
322	S100	Woodlands Road	1.4172	103.74855	29.488333333333333	0.0
323	S100	Woodlands Road	1.4172	103.74855	28.55333333333333	0.0
324	S100	Woodlands Road	1.4172	103.74855	29.15	0.0
325	S100	Woodlands Road	1.4172	103.74855	29.25	0.0
326	S100	Woodlands Road	1.4172	103.74855	28.216666666666665	0.0
327	S100	Woodlands Road	1.4172	103.74855	26.793333333333333	0.0
328	S100	Woodlands Road	1.4172	103.74855	26.898333333333333	0.0333333333333333
329	S100	Woodlands Road	1.4172	103.74855	26.921666666666667	0.0
330	S100	Woodlands Road	1.4172	103.74855	26.52	0.0
331	S100	Woodlands Road	1.4172	103.74855	26.59	0.0
332	S100	Woodlands Road	1.4172	103.74855	26.616666666666667	0.0
333	S100	Woodlands Road	1.4172	103.74855	27.091666666666665	0.0
334	S100	Woodlands Road	1.4172	103.74855	27.19333333333333	0.0
335	S100	Woodlands Road	1.4172	103.74855	27.24642857142857	0.0181818181818181
