,timestamp,device_id,name,latitude,longitude,temp_value,rain_value
312,10/3/2022 0:00,S100,Woodlands Road,1.4172,103.74855,28.08,0
313,10/3/2022 1:00,S100,Woodlands Road,1.4172,103.74855,27.835,0
314,10/3/2022 2:00,S100,Woodlands Road,1.4172,103.74855,28.91333333,0
315,10/3/2022 3:00,S100,Woodlands Road,1.4172,103.74855,27.78833333,0
316,10/3/2022 4:00,S100,Woodlands Road,1.4172,103.74855,26.44333333,0
317,10/3/2022 5:00,S100,Woodlands Road,1.4172,103.74855,27.265,0
318,10/3/2022 6:00,S100,Woodlands Road,1.4172,103.74855,27.40833333,0
319,10/3/2022 7:00,S100,Woodlands Road,1.4172,103.74855,28.67666667,0
320,10/3/2022 8:00,S100,Woodlands Road,1.4172,103.74855,29.42666667,0
321,10/3/2022 9:00,S100,Woodlands Road,1.4172,103.74855,29.53833333,0
322,10/3/2022 10:00,S100,Woodlands Road,1.4172,103.74855,29.48833333,0
323,10/3/2022 11:00,S100,Woodlands Road,1.4172,103.74855,28.55333333,0
324,10/3/2022 12:00,S100,Woodlands Road,1.4172,103.74855,29.15,0
325,10/3/2022 13:00,S100,Woodlands Road,1.4172,103.74855,29.25,0
326,10/3/2022 14:00,S100,Woodlands Road,1.4172,103.74855,28.21666667,0
327,10/3/2022 15:00,S100,Woodlands Road,1.4172,103.74855,26.79333333,0
328,10/3/2022 16:00,S100,Woodlands Road,1.4172,103.74855,26.89833333,0.033333333
329,10/3/2022 17:00,S100,Woodlands Road,1.4172,103.74855,26.92166667,0
330,10/3/2022 18:00,S100,Woodlands Road,1.4172,103.74855,26.52,0
331,10/3/2022 19:00,S100,Woodlands Road,1.4172,103.74855,26.59,0
332,10/3/2022 20:00,S100,Woodlands Road,1.4172,103.74855,26.61666667,0
333,10/3/2022 21:00,S100,Woodlands Road,1.4172,103.74855,27.09166667,0
334,10/3/2022 22:00,S100,Woodlands Road,1.4172,103.74855,27.19333333,0
335,10/3/2022 23:00,S100,Woodlands Road,1.4172,103.74855,27.24642857,0.018181818
336,11/3/2022 0:00,S101,Woodlands Road,1.4172,103.74855,30.74666667,0
337,11/3/2022 1:00,S102,Woodlands Road,1.4172,103.74855,31.115,0
338,11/3/2022 2:00,S103,Woodlands Road,1.4172,103.74855,29.35166667,0
339,11/3/2022 3:00,S104,Woodlands Road,1.4172,103.74855,30.435,0
340,11/3/2022 4:00,S105,Woodlands Road,1.4172,103.74855,32.51333333,0
341,11/3/2022 5:00,S106,Woodlands Road,1.4172,103.74855,32.01166667,0
342,11/3/2022 6:00,S107,Woodlands Road,1.4172,103.74855,32.26833333,0
343,11/3/2022 7:00,S108,Woodlands Road,1.4172,103.74855,31.16166667,0
344,11/3/2022 8:00,S109,Woodlands Road,1.4172,103.74855,25.97166667,0
345,11/3/2022 9:00,S110,Woodlands Road,1.4172,103.74855,26.04166667,0
346,11/3/2022 10:00,S111,Woodlands Road,1.4172,103.74855,26.25666667,0
347,11/3/2022 11:00,S112,Woodlands Road,1.4172,103.74855,26.40666667,0
348,11/3/2022 12:00,S113,Woodlands Road,1.4172,103.74855,27.28833333,0
349,11/3/2022 13:00,S114,Woodlands Road,1.4172,103.74855,27.05666667,0
350,11/3/2022 14:00,S115,Woodlands Road,1.4172,103.74855,26.15166667,0
351,11/3/2022 15:00,S116,Woodlands Road,1.4172,103.74855,26.32166667,0.066666667
352,11/3/2022 16:00,S117,Woodlands Road,1.4172,103.74855,26.55166667,0.166666667
353,11/3/2022 17:00,S118,Woodlands Road,1.4172,103.74855,26.6,0.016666667
354,11/3/2022 18:00,S119,Woodlands Road,1.4172,103.74855,25.80166667,0.033333333
355,11/3/2022 19:00,S120,Woodlands Road,1.4172,103.74855,26.25333333,0
356,11/3/2022 20:00,S121,Woodlands Road,1.4172,103.74855,26.825,0
357,11/3/2022 21:00,S122,Woodlands Road,1.4172,103.74855,27.49666667,0.033333333
358,11/3/2022 22:00,S123,Woodlands Road,1.4172,103.74855,27.095,0.016666667
359,11/3/2022 23:00,S124,Woodlands Road,1.4172,103.74855,26.96363636,0.018181818
360,12/3/2022 0:00,S125,Woodlands Road,1.4172,103.74855,29.68833333,0
361,12/3/2022 1:00,S126,Woodlands Road,1.4172,103.74855,29.53,0
362,12/3/2022 2:00,S127,Woodlands Road,1.4172,103.74855,29.53333333,0
363,12/3/2022 3:00,S128,Woodlands Road,1.4172,103.74855,29.31833333,0
364,12/3/2022 4:00,S129,Woodlands Road,1.4172,103.74855,28.76333333,0
365,12/3/2022 5:00,S130,Woodlands Road,1.4172,103.74855,29.06833333,0
366,12/3/2022 6:00,S131,Woodlands Road,1.4172,103.74855,29.01666667,0
367,12/3/2022 7:00,S132,Woodlands Road,1.4172,103.74855,27.78,0.066666667
368,12/3/2022 8:00,S133,Woodlands Road,1.4172,103.74855,26.245,0
369,12/3/2022 9:00,S134,Woodlands Road,1.4172,103.74855,26.17,0
370,12/3/2022 10:00,S135,Woodlands Road,1.4172,103.74855,26.21333333,0
371,12/3/2022 11:00,S136,Woodlands Road,1.4172,103.74855,27.85333333,0
372,12/3/2022 12:00,S137,Woodlands Road,1.4172,103.74855,28.82833333,0
373,12/3/2022 13:00,S138,Woodlands Road,1.4172,103.74855,27.32833333,0.083333333
374,12/3/2022 14:00,S139,Woodlands Road,1.4172,103.74855,27.795,0
375,12/3/2022 15:00,S140,Woodlands Road,1.4172,103.74855,28.20666667,0
376,12/3/2022 16:00,S141,Woodlands Road,1.4172,103.74855,28.48333333,0
