,timestamp,device_id,name,latitude,longitude,temp_value,rain_value
288,10/3/2022 0:00,S104,Woodlands Avenue 9,1.44387,103.78538,27.67833333,0
289,10/3/2022 1:00,S104,Woodlands Avenue 9,1.44387,103.78538,27.825,0
290,10/3/2022 2:00,S104,Woodlands Avenue 9,1.44387,103.78538,27.71,0
291,10/3/2022 3:00,S104,Woodlands Avenue 9,1.44387,103.78538,27.65833333,0
292,10/3/2022 4:00,S104,Woodlands Avenue 9,1.44387,103.78538,27.78333333,0
293,10/3/2022 5:00,S104,Woodlands Avenue 9,1.44387,103.78538,27.625,0
294,10/3/2022 6:00,S104,Woodlands Avenue 9,1.44387,103.78538,27.57333333,0
295,10/3/2022 7:00,S104,Woodlands Avenue 9,1.44387,103.78538,27.40166667,0
296,10/3/2022 8:00,S104,Woodlands Avenue 9,1.44387,103.78538,26.98333333,0
297,10/3/2022 9:00,S104,Woodlands Avenue 9,1.44387,103.78538,27.34,0
298,10/3/2022 10:00,S104,Woodlands Avenue 9,1.44387,103.78538,27.54333333,0
299,10/3/2022 11:00,S104,Woodlands Avenue 9,1.44387,103.78538,27.52666667,0
300,10/3/2022 12:00,S104,Woodlands Avenue 9,1.44387,103.78538,27.59333333,0
301,10/3/2022 13:00,S104,Woodlands Avenue 9,1.44387,103.78538,27.68833333,0
302,10/3/2022 14:00,S104,Woodlands Avenue 9,1.44387,103.78538,27.64,0
303,10/3/2022 15:00,S104,Woodlands Avenue 9,1.44387,103.78538,27.605,0
304,10/3/2022 16:00,S104,Woodlands Avenue 9,1.44387,103.78538,27.60666667,0
305,10/3/2022 17:00,S104,Woodlands Avenue 9,1.44387,103.78538,27.49166667,0
306,10/3/2022 18:00,S104,Woodlands Avenue 9,1.44387,103.78538,27.45166667,0
307,10/3/2022 19:00,S104,Woodlands Avenue 9,1.44387,103.78538,27.63166667,0
308,10/3/2022 20:00,S104,Woodlands Avenue 9,1.44387,103.78538,27.53833333,0
309,10/3/2022 21:00,S104,Woodlands Avenue 9,1.44387,103.78538,27.72833333,0
310,10/3/2022 22:00,S104,Woodlands Avenue 9,1.44387,103.78538,27.70333333,0
311,10/3/2022 23:00,S104,Woodlands Avenue 9,1.44387,103.78538,27.75614035,0
312,11/3/2022 0:00,S105,Woodlands Avenue 10,1.44387,103.78538,26.15,0.116666667
313,11/3/2022 1:00,S106,Woodlands Avenue 11,1.44387,103.78538,26.17,0
314,11/3/2022 2:00,S107,Woodlands Avenue 12,1.44387,103.78538,26.18333333,0.05
315,11/3/2022 3:00,S108,Woodlands Avenue 13,1.44387,103.78538,25.915,0.016666667
316,11/3/2022 4:00,S109,Woodlands Avenue 14,1.44387,103.78538,26.05833333,0
317,11/3/2022 5:00,S110,Woodlands Avenue 15,1.44387,103.78538,25.985,0.25
318,11/3/2022 6:00,S111,Woodlands Avenue 16,1.44387,103.78538,25.90166667,0.033333333
319,11/3/2022 7:00,S112,Woodlands Avenue 17,1.44387,103.78538,25.785,0
320,11/3/2022 8:00,S113,Woodlands Avenue 18,1.44387,103.78538,27.33166667,0
321,11/3/2022 9:00,S114,Woodlands Avenue 19,1.44387,103.78538,30.275,0.016666667
322,11/3/2022 10:00,S115,Woodlands Avenue 20,1.44387,103.78538,29.025,0.016666667
323,11/3/2022 11:00,S116,Woodlands Avenue 21,1.44387,103.78538,30.155,0.366666667
324,11/3/2022 12:00,S117,Woodlands Avenue 22,1.44387,103.78538,30.14666667,0.216666667
325,11/3/2022 13:00,S118,Woodlands Avenue 23,1.44387,103.78538,30.40833333,0.116666667
326,11/3/2022 14:00,S119,Woodlands Avenue 24,1.44387,103.78538,29.60333333,0.066666667
327,11/3/2022 15:00,S120,Woodlands Avenue 25,1.44387,103.78538,26.90666667,0.033333333
328,11/3/2022 16:00,S121,Woodlands Avenue 26,1.44387,103.78538,26.77166667,0
329,11/3/2022 17:00,S122,Woodlands Avenue 27,1.44387,103.78538,27.42166667,0
330,11/3/2022 18:00,S123,Woodlands Avenue 28,1.44387,103.78538,28.41166667,0
331,11/3/2022 19:00,S124,Woodlands Avenue 29,1.44387,103.78538,27.68166667,0
332,11/3/2022 20:00,S125,Woodlands Avenue 30,1.44387,103.78538,27.75833333,0
333,11/3/2022 21:00,S126,Woodlands Avenue 31,1.44387,103.78538,26.53666667,0
334,11/3/2022 22:00,S127,Woodlands Avenue 32,1.44387,103.78538,26.52666667,0
335,11/3/2022 23:00,S128,Woodlands Avenue 33,1.44387,103.78538,26.54444444,0
336,12/3/2022 0:00,S129,Woodlands Avenue 34,1.44387,103.78538,28.43833333,0
337,12/3/2022 1:00,S130,Woodlands Avenue 35,1.44387,103.78538,28.38333333,0
338,12/3/2022 2:00,S131,Woodlands Avenue 36,1.44387,103.78538,27.76333333,0
339,12/3/2022 3:00,S132,Woodlands Avenue 37,1.44387,103.78538,27.73,0
340,12/3/2022 4:00,S133,Woodlands Avenue 38,1.44387,103.78538,27.685,0
341,12/3/2022 5:00,S134,Woodlands Avenue 39,1.44387,103.78538,27.78666667,0
342,12/3/2022 6:00,S135,Woodlands Avenue 40,1.44387,103.78538,28.265,0
343,12/3/2022 7:00,S136,Woodlands Avenue 41,1.44387,103.78538,29.11166667,0
344,12/3/2022 8:00,S137,Woodlands Avenue 42,1.44387,103.78538,29.44166667,0
345,12/3/2022 9:00,S138,Woodlands Avenue 43,1.44387,103.78538,29.11,0
346,12/3/2022 10:00,S139,Woodlands Avenue 44,1.44387,103.78538,28.925,0
347,12/3/2022 11:00,S140,Woodlands Avenue 45,1.44387,103.78538,28.58666667,0
